train_name,train_number,current_station,next_station,distance_km,scheduled_travel_time_min,weather,congestion_level,historical_avg_delay_min,day_of_week,hour_of_day,actual_delay_min
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,80.1,80.1,Rain,Medium,7.9,Sat,6,25.1
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,75.1,75.1,Fog,Medium,1.2,Thu,1,29.5
Shatabdi Express,12009,Vadodara Jn,Surat,43.4,43.4,Clear,Medium,14.6,Wed,12,21.9
Tejas Express,22119,Vadodara Jn,Surat,68.8,68.8,Fog,Medium,10.8,Wed,3,31.9
August Kranti Rajdhani,12953,Surat,Mumbai Central,71.1,71.1,Clear,High,16.7,Wed,14,31.0
Tejas Express,22119,Surat,Mumbai Central,69.3,69.3,Clear,Low,3.1,Sat,3,0.0
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,99.9,99.9,Rain,High,4.8,Fri,1,26.1
Tejas Express,22119,Surat,Mumbai Central,107.4,107.4,Rain,Low,0.9,Fri,6,7.8
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,85.5,85.5,Clear,Medium,14.6,Fri,21,15.5
Shatabdi Express,12009,Kota Jn,Ratlam Jn,59.2,59.2,Clear,Medium,4.4,Mon,17,10.2
August Kranti Rajdhani,12953,Vadodara Jn,Surat,92.3,92.3,Clear,Low,12.9,Fri,10,5.2
Tejas Express,22119,Vadodara Jn,Surat,39.4,39.4,Clear,Medium,9.5,Wed,22,18.2
August Kranti Rajdhani,12953,Vadodara Jn,Surat,138.9,138.9,Clear,High,11.1,Tue,8,21.9
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,104.1,104.1,Rain,Medium,1.8,Tue,1,21.1
Shatabdi Express,12009,Vadodara Jn,Surat,107.6,107.6,Fog,High,3.8,Sat,21,39.5
August Kranti Rajdhani,12953,Vadodara Jn,Surat,47.2,47.2,Rain,Low,18.2,Tue,23,14.2
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,138.9,138.9,Fog,Medium,7.9,Wed,9,26.3
Tejas Express,22119,Vadodara Jn,Surat,89.4,89.4,Clear,Low,10.3,Mon,23,5.2
Tejas Express,22119,Ratlam Jn,Vadodara Jn,138.9,138.9,Clear,Low,11.3,Tue,0,2.9
Shatabdi Express,12009,Surat,Mumbai Central,141.5,141.5,Clear,Low,3.0,Thu,18,0.0
August Kranti Rajdhani,12953,Vadodara Jn,Surat,91.6,91.6,Rain,Low,15.3,Sat,20,15.6
Tejas Express,22119,Vadodara Jn,Surat,41.9,41.9,Fog,Low,14.4,Fri,20,22.1
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,24.4,24.4,Rain,High,13.4,Thu,4,37.3
August Kranti Rajdhani,12953,New Delhi,Kota Jn,111.9,111.9,Clear,Medium,7.5,Sat,19,14.9
Tejas Express,22119,Vadodara Jn,Surat,22.0,22.0,Clear,Low,0.3,Fri,9,2.4
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,125.7,125.7,Fog,Medium,18.2,Mon,16,30.2
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,45.0,45.0,Clear,Medium,5.3,Wed,12,11.7
Tejas Express,22119,Surat,Mumbai Central,51.6,51.6,Fog,Low,16.6,Sun,20,19.1
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,72.7,72.7,Clear,Low,12.7,Mon,15,8.3
Tejas Express,22119,Ratlam Jn,Vadodara Jn,93.6,93.6,Rain,Low,10.6,Tue,22,8.7
Tejas Express,22119,Ratlam Jn,Vadodara Jn,26.1,26.1,Clear,High,18.0,Mon,5,29.6
Shatabdi Express,12009,New Delhi,Kota Jn,145.0,145.0,Clear,Medium,14.3,Mon,9,16.1
August Kranti Rajdhani,12953,Surat,Mumbai Central,51.3,51.3,Rain,Low,17.9,Sun,23,15.2
August Kranti Rajdhani,12953,New Delhi,Kota Jn,85.1,85.1,Heavy Rain,Low,8.7,Wed,19,32.8
Tejas Express,22119,Ratlam Jn,Vadodara Jn,23.9,23.9,Clear,High,9.8,Thu,13,23.5
August Kranti Rajdhani,12953,Surat,Mumbai Central,105.9,105.9,Clear,Medium,16.0,Mon,8,20.1
August Kranti Rajdhani,12953,Vadodara Jn,Surat,112.5,112.5,Fog,Medium,6.3,Mon,9,24.2
Tejas Express,22119,Ratlam Jn,Vadodara Jn,119.0,119.0,Clear,Low,8.6,Fri,13,4.9
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,31.7,31.7,Clear,Medium,15.7,Mon,9,21.5
Tejas Express,22119,Vadodara Jn,Surat,121.3,121.3,Fog,Medium,19.9,Fri,5,32.4
Tejas Express,22119,Kota Jn,Ratlam Jn,38.0,38.0,Clear,Low,1.3,Thu,9,0.0
Tejas Express,22119,New Delhi,Kota Jn,66.9,66.9,Rain,Medium,9.9,Thu,3,24.1
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,20.9,20.9,Clear,Medium,7.6,Thu,10,17.4
Tejas Express,22119,Surat,Mumbai Central,37.7,37.7,Clear,High,4.0,Thu,10,20.1
Shatabdi Express,12009,Vadodara Jn,Surat,145.8,145.8,Fog,Low,5.6,Wed,3,20.7
August Kranti Rajdhani,12953,Surat,Mumbai Central,149.6,149.6,Clear,Medium,0.5,Sat,6,12.6
Tejas Express,22119,Ratlam Jn,Vadodara Jn,128.1,128.1,Clear,Medium,15.9,Tue,20,19.6
Shatabdi Express,12009,Kota Jn,Ratlam Jn,52.8,52.8,Clear,Low,7.5,Fri,15,3.2
Tejas Express,22119,Surat,Mumbai Central,85.9,85.9,Rain,Medium,10.9,Wed,22,26.3
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,120.0,120.0,Fog,Low,12.9,Sat,21,16.9
Tejas Express,22119,Ratlam Jn,Vadodara Jn,145.5,145.5,Clear,Low,5.2,Fri,17,2.7
August Kranti Rajdhani,12953,Vadodara Jn,Surat,68.6,68.6,Clear,Medium,13.8,Mon,15,13.4
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,74.1,74.1,Heavy Rain,Low,18.8,Wed,10,30.8
Tejas Express,22119,Kota Jn,Ratlam Jn,87.7,87.7,Clear,Low,14.4,Mon,9,6.7
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,22.9,22.9,Clear,Low,16.0,Sat,7,12.3
August Kranti Rajdhani,12953,Surat,Mumbai Central,40.8,40.8,Clear,High,4.6,Tue,5,21.4
Tejas Express,22119,Vadodara Jn,Surat,23.8,23.8,Fog,Low,11.8,Sat,6,19.8
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,117.8,117.8,Rain,Low,2.0,Tue,11,12.7
Shatabdi Express,12009,Kota Jn,Ratlam Jn,79.5,79.5,Clear,High,10.6,Fri,12,26.7
Tejas Express,22119,Surat,Mumbai Central,34.9,34.9,Clear,Low,3.5,Sun,9,3.5
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,60.7,60.7,Clear,Low,7.5,Thu,13,0.1
August Kranti Rajdhani,12953,Surat,Mumbai Central,69.9,69.9,Clear,Medium,13.9,Tue,17,18.4
August Kranti Rajdhani,12953,Vadodara Jn,Surat,57.5,57.5,Clear,Medium,12.4,Mon,15,19.9
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,126.0,126.0,Heavy Rain,Medium,9.9,Thu,22,41.8
Tejas Express,22119,Vadodara Jn,Surat,41.7,41.7,Clear,Medium,4.4,Tue,17,7.5
Shatabdi Express,12009,Kota Jn,Ratlam Jn,121.5,121.5,Clear,Medium,9.9,Fri,3,15.0
Shatabdi Express,12009,Surat,Mumbai Central,127.0,127.0,Clear,Medium,0.8,Fri,6,12.6
Tejas Express,22119,New Delhi,Kota Jn,115.7,115.7,Fog,Low,17.5,Wed,11,19.1
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,132.5,132.5,Clear,Medium,4.2,Sat,11,14.5
Tejas Express,22119,Kota Jn,Ratlam Jn,100.1,100.1,Fog,Medium,16.1,Fri,8,33.8
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,147.3,147.3,Clear,Medium,19.0,Sat,3,19.6
August Kranti Rajdhani,12953,Vadodara Jn,Surat,139.4,139.4,Heavy Rain,High,2.5,Tue,4,50.0
Shatabdi Express,12009,Kota Jn,Ratlam Jn,119.0,119.0,Fog,Low,11.5,Thu,12,18.4
Tejas Express,22119,New Delhi,Kota Jn,102.4,102.4,Rain,Low,10.3,Wed,14,10.9
Tejas Express,22119,Ratlam Jn,Vadodara Jn,95.7,95.7,Rain,Medium,1.9,Sat,21,23.6
Shatabdi Express,12009,New Delhi,Kota Jn,123.4,123.4,Clear,High,16.5,Wed,9,28.1
Shatabdi Express,12009,Surat,Mumbai Central,95.1,95.1,Clear,Low,6.9,Mon,1,5.2
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,22.1,22.1,Rain,Low,9.1,Thu,6,17.5
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,40.7,40.7,Rain,Low,13.1,Wed,21,12.1
August Kranti Rajdhani,12953,New Delhi,Kota Jn,71.5,71.5,Clear,Medium,4.7,Sat,3,13.9
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,82.0,82.0,Clear,Low,13.6,Sat,10,1.9
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,110.2,110.2,Clear,Low,1.8,Mon,10,4.0
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,37.8,37.8,Fog,Medium,2.7,Tue,2,31.2
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,104.5,104.5,Clear,Medium,12.6,Thu,19,12.8
Tejas Express,22119,Kota Jn,Ratlam Jn,31.3,31.3,Clear,Medium,11.8,Thu,10,14.7
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,56.0,56.0,Clear,Medium,12.0,Sun,22,17.1
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,46.7,46.7,Fog,Low,7.8,Sun,7,20.4
Tejas Express,22119,Vadodara Jn,Surat,34.7,34.7,Clear,Medium,10.6,Wed,10,20.1
August Kranti Rajdhani,12953,Vadodara Jn,Surat,131.9,131.9,Clear,Low,13.7,Sun,2,9.4
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,28.8,28.8,Clear,Low,1.2,Fri,9,3.5
Tejas Express,22119,Vadodara Jn,Surat,111.2,111.2,Clear,Medium,12.3,Wed,2,13.9
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,89.7,89.7,Clear,Medium,16.7,Mon,9,20.2
Tejas Express,22119,Kota Jn,Ratlam Jn,27.5,27.5,Clear,Low,9.1,Wed,21,5.7
August Kranti Rajdhani,12953,New Delhi,Kota Jn,21.6,21.6,Clear,Low,9.9,Fri,23,3.5
Shatabdi Express,12009,Kota Jn,Ratlam Jn,68.3,68.3,Fog,High,14.7,Mon,10,38.6
Tejas Express,22119,Ratlam Jn,Vadodara Jn,88.1,88.1,Clear,High,12.6,Fri,11,26.3
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,131.7,131.7,Clear,Low,15.5,Sat,23,11.7
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,116.3,116.3,Clear,High,0.2,Wed,12,15.6
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,141.1,141.1,Rain,Medium,18.3,Thu,7,29.5
Shatabdi Express,12009,Kota Jn,Ratlam Jn,74.1,74.1,Fog,Low,1.6,Fri,21,14.5
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,49.0,49.0,Clear,Low,8.0,Sun,9,7.8
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,31.2,31.2,Clear,Low,5.8,Sat,19,5.7
August Kranti Rajdhani,12953,Vadodara Jn,Surat,67.9,67.9,Heavy Rain,High,15.5,Fri,7,55.0
August Kranti Rajdhani,12953,New Delhi,Kota Jn,141.2,141.2,Clear,Medium,12.7,Mon,10,18.2
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,130.4,130.4,Fog,Low,10.6,Thu,1,17.7
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,32.1,32.1,Rain,High,10.4,Wed,14,35.2
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,32.4,32.4,Clear,Medium,1.5,Thu,21,11.4
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,57.9,57.9,Rain,High,7.9,Wed,10,35.2
Tejas Express,22119,Ratlam Jn,Vadodara Jn,50.4,50.4,Rain,Low,15.4,Mon,5,11.8
Tejas Express,22119,Vadodara Jn,Surat,60.8,60.8,Clear,Low,15.4,Thu,8,7.2
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,40.5,40.5,Fog,Medium,13.9,Sun,10,27.4
August Kranti Rajdhani,12953,New Delhi,Kota Jn,112.5,112.5,Heavy Rain,Low,1.0,Sun,5,23.5
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,131.1,131.1,Clear,Medium,1.9,Sun,4,6.9
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,28.0,28.0,Fog,Low,4.0,Sat,20,16.0
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,96.2,96.2,Rain,Low,19.9,Sat,14,14.9
August Kranti Rajdhani,12953,New Delhi,Kota Jn,137.7,137.7,Rain,Low,0.9,Tue,18,8.0
Tejas Express,22119,Vadodara Jn,Surat,84.5,84.5,Clear,Low,7.1,Wed,8,7.6
Tejas Express,22119,Kota Jn,Ratlam Jn,24.5,24.5,Fog,Low,5.9,Fri,15,17.1
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,56.4,56.4,Clear,Low,17.7,Sat,17,9.2
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,121.6,121.6,Clear,Medium,9.7,Fri,10,18.9
Tejas Express,22119,Ratlam Jn,Vadodara Jn,43.4,43.4,Clear,Low,17.9,Mon,15,11.8
Shatabdi Express,12009,Surat,Mumbai Central,149.9,149.9,Heavy Rain,Low,13.1,Sun,23,29.2
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,94.8,94.8,Heavy Rain,Low,18.7,Tue,5,39.2
August Kranti Rajdhani,12953,Surat,Mumbai Central,61.3,61.3,Fog,Low,11.8,Wed,18,22.9
August Kranti Rajdhani,12953,Surat,Mumbai Central,143.3,143.3,Rain,Medium,19.4,Tue,15,28.1
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,27.3,27.3,Fog,Low,9.6,Fri,6,18.1
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,113.2,113.2,Rain,Medium,6.5,Fri,22,16.4
August Kranti Rajdhani,12953,New Delhi,Kota Jn,130.0,130.0,Rain,High,7.5,Thu,18,36.1
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,59.2,59.2,Clear,Low,19.0,Thu,20,12.4
Shatabdi Express,12009,Kota Jn,Ratlam Jn,111.9,111.9,Clear,High,12.3,Sat,18,24.8
August Kranti Rajdhani,12953,Vadodara Jn,Surat,59.9,59.9,Fog,Low,14.6,Fri,12,26.8
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,98.3,98.3,Rain,High,4.4,Thu,4,30.9
Shatabdi Express,12009,New Delhi,Kota Jn,50.9,50.9,Heavy Rain,Low,17.7,Sat,21,29.8
Shatabdi Express,12009,Vadodara Jn,Surat,21.5,21.5,Clear,Medium,7.0,Sat,0,16.4
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,77.0,77.0,Clear,Low,8.3,Wed,17,8.0
Tejas Express,22119,New Delhi,Kota Jn,127.7,127.7,Fog,Medium,15.2,Thu,2,29.9
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,22.6,22.6,Clear,Low,6.8,Tue,23,7.3
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,142.4,142.4,Heavy Rain,Low,19.7,Sat,0,38.8
Tejas Express,22119,Kota Jn,Ratlam Jn,99.0,99.0,Clear,Low,6.6,Thu,22,8.0
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,58.7,58.7,Clear,Low,11.0,Mon,11,5.4
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,31.4,31.4,Rain,Medium,9.6,Tue,5,18.8
Shatabdi Express,12009,New Delhi,Kota Jn,81.6,81.6,Clear,Medium,9.4,Wed,2,18.6
Tejas Express,22119,Kota Jn,Ratlam Jn,68.2,68.2,Clear,Low,0.9,Wed,7,0.0
Shatabdi Express,12009,Surat,Mumbai Central,28.0,28.0,Fog,Medium,1.7,Fri,13,24.2
August Kranti Rajdhani,12953,Surat,Mumbai Central,27.9,27.9,Clear,Medium,19.3,Thu,18,21.5
August Kranti Rajdhani,12953,Vadodara Jn,Surat,58.9,58.9,Clear,High,0.7,Fri,18,21.1
August Kranti Rajdhani,12953,New Delhi,Kota Jn,143.4,143.4,Clear,High,3.3,Tue,4,18.8
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,30.2,30.2,Fog,Low,16.5,Fri,8,19.8
Shatabdi Express,12009,New Delhi,Kota Jn,31.3,31.3,Clear,Medium,17.1,Sun,0,18.8
Tejas Express,22119,New Delhi,Kota Jn,73.9,73.9,Clear,Medium,15.2,Mon,18,22.0
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,132.8,132.8,Rain,High,5.3,Fri,19,32.1
Tejas Express,22119,New Delhi,Kota Jn,42.4,42.4,Clear,Medium,13.6,Thu,10,15.8
August Kranti Rajdhani,12953,New Delhi,Kota Jn,116.9,116.9,Rain,High,0.4,Wed,9,31.4
Shatabdi Express,12009,Vadodara Jn,Surat,131.6,131.6,Fog,High,4.6,Sat,14,35.3
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,114.7,114.7,Fog,Low,8.8,Thu,23,23.5
Tejas Express,22119,Surat,Mumbai Central,132.7,132.7,Rain,Medium,3.2,Fri,12,17.7
August Kranti Rajdhani,12953,Surat,Mumbai Central,134.3,134.3,Clear,Low,16.7,Tue,1,11.8
Tejas Express,22119,New Delhi,Kota Jn,139.3,139.3,Fog,Low,16.5,Sat,3,23.4
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,68.4,68.4,Clear,Low,17.4,Wed,11,9.6
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,117.4,117.4,Fog,Low,7.7,Fri,6,15.5
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,108.1,108.1,Clear,Low,0.4,Sun,21,3.0
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,138.5,138.5,Fog,Medium,0.2,Sun,9,22.6
Shatabdi Express,12009,Vadodara Jn,Surat,136.4,136.4,Rain,Low,4.4,Fri,19,8.2
Tejas Express,22119,Surat,Mumbai Central,33.3,33.3,Clear,Medium,16.9,Sat,19,17.1
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,109.0,109.0,Clear,Low,5.5,Wed,8,1.1
Shatabdi Express,12009,Kota Jn,Ratlam Jn,39.5,39.5,Fog,High,16.1,Fri,12,46.0
Shatabdi Express,12009,Kota Jn,Ratlam Jn,113.8,113.8,Fog,High,5.2,Thu,23,36.8
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,112.0,112.0,Clear,Low,14.5,Fri,20,4.5
Tejas Express,22119,Ratlam Jn,Vadodara Jn,86.0,86.0,Rain,Medium,17.5,Mon,15,23.6
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,114.3,114.3,Clear,High,18.9,Sat,2,33.5
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,49.0,49.0,Rain,Low,17.7,Fri,9,15.6
Tejas Express,22119,New Delhi,Kota Jn,81.2,81.2,Rain,Medium,18.9,Tue,16,23.1
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,88.9,88.9,Clear,High,3.0,Wed,13,26.4
Tejas Express,22119,Kota Jn,Ratlam Jn,61.1,61.1,Fog,Medium,9.8,Tue,10,31.2
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,78.8,78.8,Clear,Medium,11.5,Sun,2,12.3
August Kranti Rajdhani,12953,Surat,Mumbai Central,76.4,76.4,Clear,Low,9.5,Fri,6,0.0
Shatabdi Express,12009,New Delhi,Kota Jn,136.0,136.0,Fog,Medium,0.4,Sat,7,20.2
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,60.6,60.6,Clear,Medium,6.1,Mon,9,8.8
Shatabdi Express,12009,Vadodara Jn,Surat,114.6,114.6,Clear,Low,17.8,Wed,15,13.9
Shatabdi Express,12009,Kota Jn,Ratlam Jn,41.4,41.4,Rain,Medium,0.4,Tue,6,15.4
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,85.6,85.6,Clear,Medium,15.8,Sat,8,16.7
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,149.3,149.3,Fog,Medium,0.4,Thu,14,27.1
Tejas Express,22119,New Delhi,Kota Jn,91.1,91.1,Clear,Low,13.9,Wed,13,8.2
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,55.1,55.1,Fog,Low,16.6,Sat,19,19.3
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,34.8,34.8,Clear,Low,4.0,Fri,6,0.0
Shatabdi Express,12009,Vadodara Jn,Surat,58.4,58.4,Clear,Low,4.2,Wed,7,6.4
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,107.3,107.3,Rain,Medium,13.4,Mon,16,21.2
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,137.6,137.6,Fog,Low,19.5,Mon,3,22.4
August Kranti Rajdhani,12953,New Delhi,Kota Jn,130.8,130.8,Clear,Medium,8.5,Sun,1,10.4
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,106.2,106.2,Clear,Low,8.8,Sat,2,5.6
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,43.8,43.8,Clear,High,5.4,Sun,15,21.6
Tejas Express,22119,Kota Jn,Ratlam Jn,34.7,34.7,Fog,Low,18.8,Thu,18,21.0
Tejas Express,22119,Surat,Mumbai Central,108.2,108.2,Clear,Low,7.2,Sat,23,0.0
August Kranti Rajdhani,12953,Vadodara Jn,Surat,139.7,139.7,Clear,Low,0.9,Wed,0,0.0
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,87.5,87.5,Fog,Medium,8.7,Thu,11,31.7
Tejas Express,22119,Kota Jn,Ratlam Jn,129.1,129.1,Clear,High,1.1,Tue,16,21.9
Tejas Express,22119,Vadodara Jn,Surat,133.0,133.0,Clear,Low,4.8,Mon,16,7.1
August Kranti Rajdhani,12953,Surat,Mumbai Central,103.6,103.6,Clear,Low,9.2,Thu,2,7.6
Tejas Express,22119,Vadodara Jn,Surat,61.1,61.1,Heavy Rain,Medium,0.4,Mon,17,34.2
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,122.9,122.9,Heavy Rain,Medium,17.8,Sat,21,44.5
Tejas Express,22119,Ratlam Jn,Vadodara Jn,67.2,67.2,Clear,Low,9.1,Fri,19,5.1
Tejas Express,22119,Ratlam Jn,Vadodara Jn,113.1,113.1,Clear,Medium,4.4,Sun,20,10.6
Shatabdi Express,12009,Surat,Mumbai Central,87.9,87.9,Fog,Low,3.3,Sat,23,13.0
Tejas Express,22119,New Delhi,Kota Jn,53.1,53.1,Clear,Low,17.0,Sun,6,5.7
Shatabdi Express,12009,New Delhi,Kota Jn,118.4,118.4,Clear,Medium,13.4,Thu,14,12.9
August Kranti Rajdhani,12953,Vadodara Jn,Surat,20.6,20.6,Fog,Medium,8.7,Fri,5,30.2
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,33.5,33.5,Fog,Medium,6.4,Thu,19,32.0
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,71.7,71.7,Clear,Low,16.1,Fri,22,4.5
Shatabdi Express,12009,Surat,Mumbai Central,131.9,131.9,Fog,High,12.7,Fri,22,38.4
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,139.8,139.8,Clear,Medium,19.5,Fri,22,16.6
Shatabdi Express,12009,New Delhi,Kota Jn,118.9,118.9,Clear,Medium,18.9,Sat,23,21.6
Shatabdi Express,12009,Vadodara Jn,Surat,125.1,125.1,Clear,Low,2.9,Tue,8,3.1
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,108.8,108.8,Clear,Low,15.7,Fri,1,4.8
Shatabdi Express,12009,Vadodara Jn,Surat,33.3,33.3,Rain,Medium,17.3,Fri,12,29.0
August Kranti Rajdhani,12953,Surat,Mumbai Central,122.0,122.0,Fog,Low,13.3,Thu,13,25.9
Shatabdi Express,12009,Surat,Mumbai Central,27.0,27.0,Fog,Low,17.4,Thu,7,27.3
Shatabdi Express,12009,Surat,Mumbai Central,91.1,91.1,Fog,Medium,19.3,Tue,21,32.5
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,145.1,145.1,Fog,Low,0.8,Wed,4,13.2
August Kranti Rajdhani,12953,Surat,Mumbai Central,130.0,130.0,Clear,Low,18.7,Wed,19,4.8
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,129.6,129.6,Clear,Medium,11.0,Sat,10,11.2
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,87.7,87.7,Fog,Low,10.9,Wed,7,19.4
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,63.0,63.0,Clear,High,12.4,Fri,20,25.9
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,107.0,107.0,Clear,High,12.3,Mon,21,27.3
Shatabdi Express,12009,Vadodara Jn,Surat,139.1,139.1,Rain,Low,10.8,Fri,11,11.2
Tejas Express,22119,Vadodara Jn,Surat,25.7,25.7,Rain,Low,10.3,Tue,17,17.6
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,47.4,47.4,Fog,Low,13.7,Tue,17,25.2
Tejas Express,22119,New Delhi,Kota Jn,117.1,117.1,Clear,Low,6.6,Mon,5,0.0
Shatabdi Express,12009,Surat,Mumbai Central,29.2,29.2,Rain,High,8.2,Thu,13,31.6
Shatabdi Express,12009,New Delhi,Kota Jn,70.6,70.6,Clear,Low,14.4,Sat,18,2.8
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,66.5,66.5,Clear,Low,13.7,Wed,14,7.9
Tejas Express,22119,Vadodara Jn,Surat,126.9,126.9,Clear,Low,4.4,Sun,17,4.7
Shatabdi Express,12009,Kota Jn,Ratlam Jn,58.7,58.7,Rain,High,17.3,Mon,17,38.1
August Kranti Rajdhani,12953,New Delhi,Kota Jn,25.4,25.4,Clear,Low,11.0,Tue,23,1.4
Shatabdi Express,12009,Kota Jn,Ratlam Jn,73.6,73.6,Fog,Medium,3.2,Sun,8,23.8
August Kranti Rajdhani,12953,New Delhi,Kota Jn,43.6,43.6,Fog,High,17.0,Fri,14,47.8
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,107.3,107.3,Clear,Low,11.6,Wed,4,10.3
August Kranti Rajdhani,12953,New Delhi,Kota Jn,57.1,57.1,Clear,Low,9.7,Sat,9,3.1
August Kranti Rajdhani,12953,Surat,Mumbai Central,93.7,93.7,Rain,High,3.4,Sun,7,27.8
Tejas Express,22119,Ratlam Jn,Vadodara Jn,129.2,129.2,Clear,Medium,17.6,Wed,9,18.4
Tejas Express,22119,Surat,Mumbai Central,34.1,34.1,Fog,Low,5.6,Fri,6,21.1
Shatabdi Express,12009,New Delhi,Kota Jn,114.6,114.6,Rain,Medium,12.6,Fri,12,27.4
August Kranti Rajdhani,12953,New Delhi,Kota Jn,91.7,91.7,Clear,High,9.4,Wed,12,27.5
August Kranti Rajdhani,12953,Surat,Mumbai Central,115.3,115.3,Clear,Low,10.2,Fri,0,4.1
